CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
147972,"[구산동도서관마을] 안중근, 천국에서의 춤|예술의전당 예술 영상화 콘텐츠 상영",구산동도서관마을 3층 힐링캠프,2024-07-27,14:00,2024-07-27,15:20,"""구산역"""
147805,[구로문화재단] 7월의 발레_리너콘서트 [인천시티발레단],구로아트밸리 예술극장,2024-07-27,15:00,2024-07-27,,"""대림역"", ""신도림역"", ""구로역"""
147403,[중랑문화재단] 광대 탈놀이 ‘딴소리판’,중랑구민회관 대극장,2024-07-27,15:00,2024-07-27,,"""용마산역"""
147145,[서초문화재단] 서리풀 작곡가 탐구 시리즈 [춤추는 바흐],반포심산아트홀,2024-07-27,15:00,2024-07-27,,
148442,[강북문화재단] 2024 강북연극협회 11주년 기념공연,"미소공원, 강북구사회적경제지원센터 커뮤니티홀",2024-07-27,15:00,2024-07-28,18:00,
147826,[성동문화재단] 여름방학특집 해설이 있는 '시네마 클래식 음악 여행',성수아트홀,2024-07-27,17:00,2024-07-27,,"""뚝섬역"""
147547,[서초문화재단] [2024 클래식다방 - 서리풀 아트홀] 뉴올리언즈로 떠나는 재즈여행!,서리풀 아트홀,2024-07-27,17:00,2024-07-27,18:00,
147903,2024 한강페스티벌 여름축제 [한강음악불꽃크루즈],아라김포여객터미널,2024-07-27,18:00,2024-08-10,18:30,
148060,2024 한강페스티벌 여름축제 [한강무소음DJ 파티],뚝섬한강공원 외,2024-07-27,19:00,2024-08-11,22:00,"""뚝섬유원지역"""
147825,[세종문화회관] 안미현 피아노 독주회,세종체임버홀,2024-07-27,19:30,2024-07-27,,"""광화문역"", ""경복궁역"""
148199,[노들섬] 2024 문화가 흐르는 예술섬 노들 [뮤지컬 : 우리가 사랑했던 그날],노들섬 잔디마당 야외특설무대,2024-07-27,19:30,2024-07-28,20:30,"""용산역"", ""신용산역"", ""노들역"""
148342,2024 한강페스티벌 여름축제 [한강뮤직퐁당],난지한강공원 물놀이장,2024-07-27,20:00,2024-07-28,22:00,"""마포구청역"""
147501,[세종문화회관] 꿈의숲 어린이 그림자 극장 「동물의 사육제 & 피터와 늑대」,꿈의숲 퍼포먼스홀,2024-07-28,,2024-07-28,,
148332,[서울생활문화센터 서교] SPACE JAM IN SEOGYO,서울생활문화센터 서교 공연장,2024-07-28,13:00,2024-07-28,15:00,"""합정역"""
148569,서리풀 휴(休) 갤러리 [유휴(遊休)의 모양_김민우 개인전],"심산기념문화센터 B1, 서리풀 휴(休) 갤러리",2024-07-29,09:00,2024-08-30,22:00,"""동작역"""
148059,[강북문화재단] 퇴근길 콘서트 [오늘도 수고했어요!] Rain Concert,에피소드수유838 야외무대,2024-07-29,19:00,2024-07-29,,
147783,[세종문화회관] 이은미 플루트 독주회,세종체임버홀,2024-07-29,19:30,2024-07-29,,"""광화문역"", ""경복궁역"""
148620,[마포문화재단] 2024 지역예술가 전시공간 지원사업 [청년작가전 - 숨은 이야기],마포아트센터 갤러리맥,2024-07-30,10:00,2024-08-13,18:00,"""대흥역"", ""이대입구역"""
148328,[돈의문박물관마을] 청년 zip중 프로젝트 [CONNECT 展],"돈의문박물관마을 돈의문스튜디오, 온실",2024-07-30,10:00,2024-08-25,18:00,"""서대문역"""
148266,[서울시립 미술아카이브] 미술아카이브 아카데미,서울시립 미술아카이브 배움동 2층 모두의 교실,2024-07-30,10:30,2024-11-29,12:30,"""경복궁역"", ""길음역"""
148453,[서울아트책보고] 2024년 서울아트플랫폼 2기,서울아트책보고 북카페 앞 열린공간,2024-07-30,11:00,2024-09-29,18:00,"""구일역"""
